test_set,Label NB
apply panggil panggil kadang lamar blm baca tiba2 udh tutup status yg ga ubah ngelamar sesuai dgn alam tp mgkn blik lg rezeki msng2 sy share loker dr jobstreet bwt temen lgsg panggil usaha yg sy apply sama2 alam bidang yg deh,positif
terimakasih aplikasi jobstreet aplikasi sayah kerja,positif
loading mulu ya gak login,negatif
bantu,positif
yg sistem susah apply susah banget mending pakai yg sestem why sistem proses cepat yg sistem lelet dak apply baik biar lancar spt sistem yg mohon koreksi,positif
gak respon kalo apply,negatif
bantu cari kerja ga mutermuter cari kerja ngabisin ongkos,positif
terima kasih aplikasi jobstreet 2 kali kerja aplikasi,positif
tampil bikin susah update resume aja kagak nya kek aja update resume gampang mah susah pilih wps nya,negatif
bobrok,positif
mantap,positif
good app,positif
apa apk ga guna spam email doang,negatif
loker sampah isi jelasyg tipu gila gak tu,negatif
,positif
info lowong lumayan cepat,positif
jobstreet byk lowong kerja fiktif,negatif
yg ngadain event seminar ga lanjut reward ewallet yg tunggu h14 sampe h21 hahahaha ga amanah yaa,positif
bantu cari kerja,positif
update aplikasi yg jelek lanfsung link email utk open browser pesan button aplikasi jobstreet buka playstore buka aplikasi jobstreet gimana aplikasi langsung daru notifikasi email klik langsung buka aplikasi jobstreet salah update aplikasi yg,negatif
bantu sukses,positif
good,positif
after update i cant log in back,negatif
nice,positif
kaka ya ko semenjak baru ko gx masuk aflikasi jobtreet nya mohon bantu nya,negatif
update buka aplikasi,negatif
bagus,positif
ok,positif
harap aplikasi jobstreet memberika notifikasi beri kerja merespon lamar kirim lamar baca tolak abai,positif
diupdate ga buka nih aplikasinyaparah nih aplikasi jobstreet payah ratus lamar gada kadaluarsa tutup ngapain lu pajang jobstreet sampah ubah kaya aja by seeklebih gampang,negatif
bantu template nya tolong tahan mudah cari kerja,positif
ok,positif
loker loker hoax depan harap teliti percaya aplikasi kerja,negatif
setwlah update serasa aplikasi karbitan,negatif
good job bantu cari kerja,positif
aplikasi yabg bantu cari kerja jobstreet kerja,positif
moga jobstreet bantu job seeker memuwujudkan harap aktualisasi,positif
jobstreet bantu proses cari kerja,positif
coba langsung kasih bintang 5,negatif
moga updateinfo,positif
info loker banyak hoax nya interview ruko ujung ujung nya uang duluan blom dpt kerja udah ngeluarin uang,negatif
tolong seleksi yg perusahaantempat kerja usaha fiktif tipu tolong periksa usaha tidak aneh lamar layan restoran suruh dateng ruko,negatif
pakai aplikasi bantu benar2 hubung usaha apply lamar moga ajah benar2 bukti aplikasi loker recommended,positif
aplikasi bagus lengkap kerja dr suka tampil yg baharu cepat ngintip lamar aplikasi yg profil usaha lowong kerja yg usaha aplikasi yg baru error koneksi internet bagus semenjak masuk lamar jobstreet telpon wa masuk dr tipu ya,negatif
versi bug gk akses menu kecuali home,negatif
simple versi lamapencarian loker nya ga sesuai yg cari,negatif
alhamdulillah,positif
periksa pt nyaa daftar panggil interview via wa isi nyaa pt bodong dateng suruh bayar kerjaa interview nyaa ruko periksa dahh pt rekrut kerja tiktok bangak keluh panggil interview jobstreet aplikasi harap cari kerja lohh gitu ajaa sihh,negatif
moga cepat kerja,positif
lumayan bantu,positif
weiii akun gue ilang pas baru aplikasi nya pdhal gw pake dr th 2017 app gimana balikin akun gw adminnn,negatif
tampil asa nambah dpt panggil kerjamending tampil,negatif
ok,positif
jobstreet bagus cari kerja percaya mudah akses,positif
bantu,positif
loker 30th,negatif
2 kali kerja karna aplikasi dn perusahaanya pt,positif
hadeuh gmna seh jobstreet data sebar tiga pakai jobstreet kali data salah udh gak safety,negatif
,positif
bagus,positif
banya oknum tipu aplikasi,negatif
semuamasih calo,negatif
upgrade ko data profil hilang resume yg hilang history lamar hilang ga bagus setela upgrade,negatif
bagus bgt mudah paham,positif
aplikasi jelek yadiupdate buka bagustp nambah susahin penggunaudah komplain csnya udah lakuintapi utuh digunakandiklik bom bisadan update apk utuh bisaudah komplain,negatif
update aplikasi lelettttttr bangat,negatif
lokasi kerja tdk sesuai,negatif
harga,positif
bantu cari kerja,positif
log in hasil gabisa beranda pencet continue gabisa gilir back suruh log in,negatif
aplikasi cari kerja keren banget simpel mudah lamar thanks developer,positif
update aplikasi ngk bagus versi,negatif
bantu gratis ya lbh depan mudah lg thank u,positif
aplikasi gk real ku udh 1 thn cari lamar gk tanggap haduhh,negatif
gabisa log in aneh banget ni aplikasi,negatif
mula,positif
mudah informasi lowong kerja terima kasih,positif
update gabisa buka,negatif
ok,positif
bantu relevan terima kasih,positif
good,positif
bantu terimakasih,positif
cari kerja anti ribet,negatif
mantul,positif
ok,positif
ok,positif
dapet kerja suka kontak masuk gajelas nawarin kerja gajelas pake online hp aja gimana si kerja kaga dapet no sebar mana,negatif
mantap,positif
udah ngelamar blom panggil gimana update pas trus an baru panggil kerja mah gk,negatif
data nomor hp sebar wa aku database aplikasi jobstreet hati hati,negatif
login,negatif
aplikasi kontil ngelamar bolak gk update progressnya gk panggil,negatif
aplikasi yg sesuai ekspektasi usaha yg rekomendasi kualitas feedback usaha nya sangan fast responsifsaya senang jonstreet bantu sayacongratulation i proude to you,positif
awas lapang,positif
ga log inlewat web aplikasi jobstreet bantu cari kerja tolong baik,positif
maksud gimana nyoba daftar kaga suruh masuk akun jobstreet udah masuk akun jobstreet profil kaga suruh masuk akun kali masuk arahin google crome kecewa aplikasi,negatif
bagud,positif
gak login minggu butuh banget cari kerja akun aktif suka cari loker minggu kemarin aja masalah gin baru cv kirain lupa password tau nya emg sana susah login tolong jgn susah login akun genting,negatif
good,positif
tolong ketat aman nya pt tipu masuk jobstreet iming admin seragam dll 17jt nama pt focus global logistik alamat nya jl raya bekas no36 rt10rw1 ujung menteng kec cakung kota jakarta timur daerah khusus ibukota jakarta 13960 awas tipu,negatif
sorry bintang 1 kalo lowong saring engga ya ngelamar dapet ruko pinggir jalan tolong saring kasi anak lulus blom alam udah neng panggil kerja buang bensin buang pas sampe pintain uang tipu,negatif
bantu mudah cari info lowong,positif
bagus cari kerja,positif
,positif
done well done cari info lowong kerja lamar kerja mudah,positif
kasih rekrut resumecvlamaran kerja liat baca biar serius rekrut kerja karna kasi lamar siang malam liat lamar kerja baca rekrut tingkat layan jobstreet tolong kasih baca cvresumelamaran kerja lamar lamar rekrut cepat serius nya rekrut krna ad yg smpai 7 blm d baca,negatif
login akun jobstr aplikasi error,negatif
percaya jobstreetbanyak tipu kerja salah satu tipu,negatif
udh pas isi email huruf yg lewat gabisa ubah sampe tolong solusi,negatif
gara aplikasi wa masuk interview hoax pas cek google nama pt nya ga map nya nunjukin area nama gedung nya,negatif
oke aplikasi,positif
bagus apl yg cuy,positif
ko aplikasi jobstreet jobstreet express beda resmi beda tolong,positif
tolong developer usaha wajib isi salarygaji usaha biar cari kerja cocok gaji usaha buka lowong wajib isi salary benefitnya hrd,negatif
baharu tarik mudah cari kerja sulit deh,positif
bantu cari kerja,positif
bantu juang cari kerjaterimakasih jobstreet,positif
3 kerja aplikasi 2 kerja sebelumya jobsdb yg gabung jobstreet thanks note saran ada fitur kualifikasi kerja lamar peta saing thanks,positif
apply apk panggil bener engga apk udh 3 coba apply apk,negatif
tolong lapor tindak lanjut modus usaha pt visi cipta media cari kerja account executive freelance curi data client cari diam2 usaha tsb hubung proyek tahu modus rugi cari kerja jobstreet pakai buang gaji bulan komisi,negatif
blm paham klau lamar yg lamar balas nya,negatif
bantu,positif
gimana ceritanyaa sih gw download gada lowong bener aje,negatif
baharu bagus aneh gak aplikasi,negatif
done,positif
bantu kerja,positif
good,positif
blum ki coba,positif
upload foto profil gimana si udah searching gaada bantu,positif
ko gbisa instal ya pdhal udh download,positif
thank you jobstreet kali kerja sampe 4 kali pindah usaha aply lamar salam lina,positif
portal lowong kerja terupdate top bgt dah masuk ya tolong filter loker loker fiktip tipu oknum loker fiktip,negatif
isi loker tipu,negatif
buang buang lamar pake jobstreet gak panggil,negatif
lamar pemberitahuan usaha terima nya lamar pemberitahuan nya lowong kadaluwarsa mulu mending pakai apk glints terima tidak tahu langsung apkgmail balas nya ga kaya jobstreet ga balas usaha lamar,negatif
aplikasi ga loker bodong ga masuk aka masal kerja suruh bayar,negatif
ya allah bgt loker palsu tipu ngeselin bgt yg nulis fasilitas gak ngotak serius deh jaman platform isi orang jahat tolong donk dimanage gimana gt biar yg naroh loker beneran usaha fiktif yg kalo dimasukin gmaps isi aneh2 developer gercep nanggepin,negatif
terimakasih aplikasinyateknik tani padi hasil memuaskanuntuk rakyat tani padiharap dipercepataku yg teknik itusiap ajar teknik singkatbiarpun anggar yg yg kaliharap dierbandinggkandengan hasilnya2252500sampai2757500investasi uang uang,negatif
bantu,positif
semenjak update versi ga nyaman enak versi tolong perhati,negatif
baru taikk pas login cv kereset,negatif
gak masuk,negatif
aplikasi cari kerja aplikasi cari uang yg tipu orang yg butuh kerja,negatif
update lowong tutup rekomendasi,negatif
moga kerja,positif
hatihati data jual pihak,negatif
tembus 4,positif
aplikasi cari daerah acakacakkan akurat loket tutup,positif
many fake job vacancies,positif
hadeeehhh update ui skrg nyari history lamar batas gk liat yg panggil ngecek bener gk gue ngelamar pt siap lihat jobdescnya skrg gk,negatif
ratus lowong lamar jobstreet satu panggil,negatif
susah gk login bug,negatif
lowong presiden gk,negatif
adminini gimana ya tdk login akunsudah diulang2 tdk bisajadinya hapus aplikasi download tdk ganti email login tdk masuk profil,negatif
masukin lamar 53 usaha satu blom yg panggil jgn2 fiktif smua,negatif
aplikasi bantu caker cepat download sabar moga rezeki,positif
sih aplikasi update aplikasi tp tetep aja bnyak usaha bodong yg liar atas nama hiring indikasi tunjang yg gak masuk akal posisi yg buka tolong development nya tindak kasus2 kaya gin tindak layar usaha share masuk nya lebih nya bantu aspek pencariker,negatif
ok,positif
aplikasi bantu cari kerja,positif
balas,negatif
cepat mudah moga manfaat pencark kerja,positif
hrd ga supervisor,negatif
drever,positif
jobstreet loker tipu suka minta2 duit masuk kerja,negatif
bantu mudah,positif
usaha muncul jobstreet kadaluarsa iklan lowong kerja yg kadaluarsa muncul,negatif
ratus loker lamar blum panggilperlu tinjau sistem aplikasi,negatif
please make location filter like jobsdb indonesia separate the location of jakarta raya into west east north south and central jakarta and tangerang into tangerang south tangerang and tangerang regency,positif
terima kasih salur kerja yg,positif
mantabss mdh2an cepat kerja,positif
masukin sandi keybord yg muncul bahasa arab pdahal masukin email keybord ny bahasa indonesia,negatif
good and easy for apply,positif
aplikasi error ya ko klik habis log in g bsa,negatif
jos,positif
oke,positif
mantab,positif
tipu yah aplikasi tau kalo panggil wawancarainterview langsung tempat sangkut ruko yah orang nyari kerja diarahin tipu ada2 aja woy bikin lamar modal,negatif
electrician,positif
nice,positif
moga kredible lowong benar2 lowonga hoax tipu,negatif
dar saran aja lowong kerja rekrut close tampil,positif
gajelas gapernah lanjut apply,negatif
good,positif
manfaat,positif
apk ga,negatif
update mulu gx dapet panggil,negatif
banyakkkkkk banget loker nipu,negatif
good,positif
bagus manfaat,positif
updet knpa gak masuk ya updet aman bagus gampang ngelamar semenjak updet gak lamar kerja susah masukin akun,negatif
msh aplikasi dr ribet banget kaya terima aja,negatif
good,positif
bagus moga dapet kerja,positif
tolong kembali jobstreet versi,negatif
server philippine,positif
gk buka aplikasi,negatif
tiati ngelamar jobstreet tipu yg ngambil data lamar,negatif
parah aplikasi hp logout install ulang diplaystore ngga nginstall buka web update sistem 18 nov 2023 aplikasi kacau akun ilang suruh daftar ulang pas bs masuk dg email data blank kaya daftar guna history dll bersih hadeeeuh,negatif
ok bantu,positif
bantu kerja,positif
good,positif
bagus erti sikas dah ngelamar ga dapet panggil usaha resmi ngelamar yg alam nya tetep aja liat doang profil cape gua nganggur lamar simpen,negatif
aplikasi yg bagus cari kerja,positif
update gak login moga cepat baik,positif
banyak via website gk nge lamar,negatif
ubah,positif
aplikasi kontolll makah ubah pengaturanya,negatif
banyak bacelor digriiiii s123 lulus smk derajat berat lowong lamar email lowong udah tutup kadaluarsa beneran tawar lowong kerja kejar trafik web,negatif
bantu anggur,positif
semenjak update gabisa sign in muternya bgt ilang,negatif
kalo gak tutup kada luarsa,negatif
lina setia bantu kerja,positif
baharu by seek ga login muter,negatif
aplikasi jobstreet bantu kerja sesuai latar didik alam kerja milik,positif
usaha yg jalur masuk org php doang mnding jgn unggah jobstreet kasi yg lamar,negatif
bagus,positif
apk yamg bagus,positif
kadaluarsa nya lowong kerja,negatif
alam ternak ayam telor,positif
ga dapet kerja,positif
good jobs sanga bantu cari kerja recommended,positif
broken klo loker tutup ya hapus postingannya lawak bener,negatif
bikin bingung,positif
kasi bintang 5 yg kreatifitas aplikasi mas donludsemoga hasil kerja aplikasi,negatif
bantu,positif
notif lowong kerja sesuai minat bakat progress lowong apply terima report nya pokok nya recommended banget,positif
mantap,positif
gabisa buka sih tulis were working on it jelek bgt nih aplikasi,negatif
update gk orng cari lowong job yg balikin kek lg woi tampil dll,positif
aplikasi asu,negatif
bantu,positif
complain ulang kali tindak benah aplikasi,positif
oke,positif
aplikasi keren mudah cari kerja lamar usaha sesuai kualifikasi,positif
aplikasi manfaat cari kerja cari karyawan moga kerja sempat usaha lamar,positif
data nomor daftar jobstreet privasi jaga rahasia wa orang kenal tawar kerja nggak informasi nomor wa data base jobstreet tolong,negatif
mudah cari lamar kerja,positif
update riwayat lamar sebelumnyahanya riwayat susah panggil interview riwayat lamaranriwayat lama2 panggil interview lamar lama2 semenjak update jelas usaha yg lamar detail mohon ganti tampil yg,negatif
baik bantu,positif
udh 5 bln applay cv g ad yg dipanggilnih aplikasu bnran bohong,negatif
aplikasi beri kerja no indonesiajob kasi job kasi job kasiaaaaan,positif
bantu banget,positif
aplikasi cari kerja andal thanks jobstreet,positif
good,positif
bantu thank u jobstreet,positif
terima kasih berkat job streer kerja,positif
oke,positif
info lowong kerja fiktif sesuai recruitment jb konfirmasi usaha tersebutjangan download,positif
bantu cari peluang2 kerja,positif
kasih bintang 5 berkas lamar panggil,negatif
jobstreet bantu mudah cari kerja kerja,positif
ok,positif
mudah cari kerja,positif
data yg kirim bocor kirim pesan tawar kerja ujung tipu informasi database jobstreet,negatif
top kali dpt kerja,positif
peluang cepat,positif
bantu cari kerja,positif
apk bantu bgt cari kerja langsung hrd lowong kerja nya pokok thevest bgt,positif
mantap,positif
mantap,positif
ribet ngelamar aja alih aplikasi,negatif
bantu,positif
bantu,positif
hilang fitur iklan anonim karna resiko tipu lowong kerja karna tau usaha moga baca ya ulas ku,negatif
nice,positif
moga kerja mudah ya allah aamiin moga hoax biaya bawa kabur uang,positif
aplikasi loker tipu,negatif
udh bolak daftar akun tp ttp aja ga masuk2 ga tau deh,negatif
good,positif
good,positif
buruk,negatif
lamar panggil samasekali,negatif
jossssss,positif
moga kerja jobstreet,positif
oke,positif
mantap aplikasi bantu hidup cari kerja,positif
min tolong kelola lokernya bnyak loker tipu satin ruko contoh lokernya pt karunia megah sejahtera kasihan gara gara jobstreet suruh interview ruko byar 475000 than dp,negatif
hapus aplikasi busuk playstore appstoreisinya sampah buang2 waktuthe most no1 scammer jobseeker in indonesia,negatif
aja update login muter2 doang,negatif
usaha tambang pasir besi ntb admin cari kerja,positif
parah nge leg karuantak tolong baik,negatif
kelas jobstreet aja loker tipu,negatif
cari kerja bagus,positif
makas jobstreet bantu banget cari peluang kerja update,positif
tampil ribet dlu,negatif
mudah mudah aplikasi kerja,positif
woi tolong cari lowong kerja kantor tempat batam lowong kerja kantor kecuali accounting purchasing gak tolong cari alam sallarynya digit kalao gak lapor atas salah instansi pemerintahgak pokok titik gak pakai koma,negatif
panggil kerja aplikasi bnyak loker tp blum yg nyangkut yg kualifikasi smuaa,negatif
tolong baik udah akun tbtb aku login lgi gk,negatif
jg prnah pakai apk lgi prnah mngalami kjadian pnipuan prtama kali sy ngrantau bnyk pabrikpt stelah pnggil interview daerah jaktim sy pakai grab abang grabny google gk pt yg mngadakn interview pikir sy udh ga enak brhentilah pom bensin tnya bnr ga pt stelah jalan aj tuh ssuai titik lokasi habis turun dri grab ad sorg laki yg nyuruh masuk lakukn interview ky mksa banget interview ditnya eh duitfiks pnipuan,negatif
baru sampah buka menu aja bgt habis unggah resume cv aja loading,negatif
maksimal,positif
bagus moga tingkat,positif
ok,positif
baru coba mengupload cv proses nya banget gk masukin cv nya,negatif
jos butuh kerja,positif
bantu,positif
eror,negatif
aplikasi cari kerja mudah applay lowong lamar via email,positif
mantap,positif
bantu cari lowong kerja,positif
oke pencaker,positif
manfaat,positif
efektif reliable,positif
bantu,positif
halo jobstreet akun yg hubung tawar kerja instant blg nomor database jobstreet data sebar ya,negatif
aplikasi minggu update kali kali ya aplikasi tentu wkt tutup lowong kerja,negatif
usaha pialang loker hoax usaha asli ngga panggil tolong blokir tuh usaha pialangloker hoax,negatif
terima kasih jobstreet bantu,positif
bagus,positif
gabisa apply,negatif
aplikasi udah update ga login loading banget,negatif
maaf kasih bintang satunotif gabisa buka eror notice,negatif
bantu,positif
loker jobstreet hoax udh naro lamar pt lamar kadaluarsa terima lamar lagipadahal tanggal pas buka nya loker pt tersebutbaru lamarbeberapa minggu terang nya terima lamar,negatif
bagus,positif
after update problem sign inomg,negatif
guna,positif
bagus jobstreet lamar kerja thank you jobstreet,positif
tiba2 pas masuk apply langsung suruh log in ulang pas log in data hilang email suruh email akun tolong baik pusing lamar niat nya apply bikin ribet,negatif
bagus cari kerja rekomendasi 100 poko mantap,positif
maksud gimana gak akses beli seek tekan gak bisaa,negatif
yes oke,positif
syarat sulit lamar alami maju aplikasi kes main lamar cari kerja maaf uninstall aplikasi nya kecewa,negatif
aplikasi nya manfaat bangettt fitur2 jobstreet lengkap search job by daerah kontrak kerja part timefull timeetc klasifikasi kerja smpai ngatur rata2 gaji nya brapa jugaa pokok aplikasi udah lengkap pake banget lulus smk butuh info loker yg gercep jobstreet banget ngasih info2 loker via notifgmail yg suka notif info loker yg muncul berhub kerja yg pingin 100010,negatif
jelek aja sie suka,negatif
bagus,positif
ganggu gimna masuk ga loading trrus,negatif
tolong posting job kadaluarsa muncul,negatif
info lowong kerja mudah akses,positif
aplikasi gak suruh masukin akun google error urus aplikasi nya bug,negatif
,positif
bantu,positif
lokernya,negatif
udah bug nga buka maaf ngasih bintang 1 bagus aplikasi jobstreet rekomen cari kerja,negatif
tibatiba ga masuk,negatif
mudah d paham cman sdkit ubah,positif
menyalahgunakan aplikasi loh tipu mengatasnamakan aplikasi,negatif
mudah,positif
jos gandos,positif
keren updetan apk nya detail turut terimakasih jobstreet kali kerja jobstreet,positif
loker palsu sistem verikasi jobstreet tipu developer andal sistem report razia loker palsu,negatif
kali kali kerja aplikasi sesuai salary harap lulus s1 kuliah s2 kursus bahasa asing kursus pajak kursus akuntansi kursus networking kursus komputer butuh usaha terimakasih jobstreetsukses moga jaya jobstreet,positif
gk aplod cv jobstreet skrang tampil ny ribet gk ky simple tolong baik kemaren,negatif
pairing token 7ae039a5,positif
ok,positif
capek lamar gak yg terima minimal panggil sesuai minta usaha,negatif
cari lokasi tangerang muncul jakarta hahaha lucu,negatif
tolong spam loker email kalo ujung lowong tutup gimmick doang pt kalo loker udah kandidat ordal post loker kasi ngarepin loker,negatif
driver duta iraq,positif
ok,positif
login aplikasi jobstreet nya mohon bantu nya kak,negatif
bagus sihhh lamar langsung panggil interview,positif
apk sampah banyak loker nipu,negatif
kalo nyari daerah yg keluar daerah yg tuju,negatif
aplikasi kerja,positif
baik,positif
mohon lowong kerja web gabung tera aplikasi jobstreet mengapply lowong kerja aplikasi jobstreet alih web bikin ruwet pindah web aplikasi jobstreet,positif
bocor dataini bukti pesan wa pt b lamar pt a bukti data bocor oknum ga tanggung jawablebih tingkat usaha valid akses data penggunapencari kerja,negatif
fitur lamar kualifikasi tudak hilang,positif
aplikasi bagus cari informasi kerja,positif
mantap,positif
susah urut cari baru lama acak susah liat lowong yg,negatif
susah log in,negatif
aplikasi gajelas yg lamar tutup trus ngapain posting mending aplikasi glints bagus real,negatif
enak update cari kerja 5 kota 1 doang,negatif
ngirim lamar udah puluh ga yg nyangkutbeda aplikasi kitalulusngirim lamar langsung respon hrdudh kali panggil interviewudh jelek skarnag jobstreetga kaya dulumungkin udah males2an ngurus situs,negatif
rip jobstreet aplikasi,negatif
tolong benah fitur cari save kerja ga relate,negatif
yg cari recruiter spek gmn sih prasaan udh upload berkas dr 8 yg ga maju ga progress yg lamar kelas operator pakai ijasah s1 bolakbalik ganti model cv dll hasil zonk cv nya ga nyampe hrd,negatif
diupdate info dalam ga jelas bgt terang nurun inimah,negatif
kerja ga uptodate itu2 mulu,negatif
ok gas ok gas moga cepat kerja gas pragib 2024 tunggu lowong kerja,positif
bantu yg butuh kerja,positif
respon usaha udah gitu data base nomor wa jebol kali dapet tawar kerja online bilang dapet data nya jobstreet mending ga pake apk deh cari apk jobseeker aja ya temen,negatif
undang interview tipu orang yg niat cari uang buang2 uang ga dicheck valid ga lokernya kaya apk belah sayang banget lamalama apk bobrok,negatif
app ga apply udah 3 blom pnggilan app ga memudhkn bukti ngga nihil dampah,negatif
5 jobstreet update reset data data jobstreet nya daftar maaf kasih bintang 1 moga update an kembali,negatif
jobstreet emang aplikasi keren mudah cari kerja terimakasih jobstreet,positif
baik,positif
manfaat,positif
applikasi mutu aplikasi bapuk,positif
hbyv knob numb how hj,positif
ga ya hubung usaha bodong gak apply usaha tsb kalimat cantum kalo dpt data app tolong amanin udh aktif mode comot data yg bodong2 ga apply mohon tingkat aman terimakasih,negatif
kerja darisini,positif
lamar kerja senang mudah nyaman,positif
maaf min nya saran kalo kasih lowong bener dapet aplikasi ko masuk perumahanjadi tolong admin kalo usah daftar aplikasi tolong detail banyak usaha bodong tolong teliti,negatif
aman nya skrg kemarin dpt usaha fiktif suruh bayar pulo gebang skrg aneh lihat yg lamar usaha aja situ tera yg lamar 100 sebut sih yg lamar 1rb2rb org takut anggur ya turun bintang satu fiktif usaha gak recruitment nya,negatif
ok,positif
gudd app cause easy way to use,positif
aplikasi ga guna download apply lamar ga panggil interview yg nunggu lowong nya tutup ga lanjut,negatif
aplikasi jobstreet bagus cari kerja lowong fresh graduate pengalamn dunia kerja lowong tinggal cari aja penting cv tarik lirik hrd poko semangat gen z moga cepat kerja baik bidang nya semangat,positif
tkz jobstreeet,positif
developer mohon baik apk nya usaha login pasuk email klik aplikasi gak,negatif
kemarin akun sign out sign in ga kolom email password gk muncul loading 1 hari paket data ku 250 gb,negatif
bahaya pakai jobstreet pantau data2 identitas,positif
aplikasi bantu cari kerja bantu,positif
10 kebun kakao 15 kebun kelapa sawit sbg asisten tanam,positif
bahasa inggris oy gimna ganti bahasa indonesia nya gk paham gw bahas inggris,negatif
terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua alam mohon maaf pa jobstreet,positif
bantu mantap,positif
bantu kerja dapat terimakasih,positif
udh ngirim 15 usaha ko blm yg nyantol 1 piye iki,positif
kecewa sih oknum tipu yg manfaat apk udah kali interview lolos ujung main uang pas calon yg tipu juta rupiah tolong tinjau oknum nakal harga yg serius cari kerja bantu orang tua,negatif
update lengkap cari,positif
good jobstreet bantu sari kerja sesuai alam kreteria,positif
mohon maaf ga login ga apply,negatif
info lowong udah harap indonesia,positif
fu usaha buka lowong,negatif
notifikasi anjirr,positif
loker tutup kalah warung madura 24jam payah kalo emg galolos udh dapet kandidat langsung update,negatif
good,positif
mudah cari info loker yg,positif
moga kerja,positif
trimakasih,positif
dapet tawar responnya,positif
mantappp,positif
ok,positif
4 dlu aja download soalna,negatif
aplikasi sampah,negatif
sampah,negatif
goodds,positif
moga bantu,positif
diupdate upload cv,negatif
karna hp sya problem uninstal apk jobstreet stelah instal ulang pas bgian daftar login loading,negatif
bantu cari kerja cari tenaga kerja yg profesional,positif
pilih kerja cari sesuai keinginantapi barang panggil,positif
lowong kerja ken fitur profil usaha deskripsi usaha lowong kerja buka usaha temu fitur jobstreet temu fitur kitalulus tolong buat fitur biar nyaman aplikasi jobstreet terimakasih,positif
aplikasi eror massa udah juta kirim lamar panggil kerja,negatif
knpa iya udh baru aplikasi suru login gilir login susah muat halaman nya,negatif
jobstret lowong kerja saring aja begroud perusahaanya loker tipu ruko kosong mohon masuk terima selamat pagi,negatif
,positif
senang aplikasi mudah informasi lowong kerja baru mudah,positif
tingkat kualitas,negatif
gua pake aplikasi 2015 sampe detik perna nyangkut isi kolom kolom nya gua lengkap lengkap enak linkedin kaya,negatif
sdh filter lamar kerja ilang filter,negatif
unggah resume default ya file sesuai,negatif
bagus bantu,positif
moga kerja,positif
good aplikasi,positif
jobstreet saking banyak lowong fiktif saking ga bedain lowong asli lowong palsu,negatif
jobstreet kerja usaha internasional jaksel tunggu 1 dapetnya jobstreet bantu keren terima kasih,positif
bantu,positif
lowong kerja bagi jobstreet lowong kerja udh pd tutup jobatreet msh sedia capee dech,negatif
