score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
5,"Mantabs
Lebih keren lagi kalau ditanbah binatangnya",mantabslebih keren lagi kalau ditanbah binatangnya,mantabslebih keren ditanbah binatangnya,"['mantabslebih', 'keren', 'ditanbah', 'binatangnya']",mantabslebih keren ditanbah binatang
5,Lumba lumbanya bisa berenang keren,lumba lumbanya bisa berenang keren,lumba lumbanya berenang keren,"['lumba', 'lumbanya', 'berenang', 'keren']",lumba lumbanya renang keren
5,"untuk staffnya dari pintu masuk hingga di dalam ramah""...terutama buat yg jaga pintu masuk di lumba""...super sabar meskipun di bentak"" org tetap sabar dan ramah...",untuk staffnya dari pintu masuk hingga di dalam ramahterutama buat yg jaga pintu masuk di lumbasuper sabar meskipun di bentak org tetap sabar dan ramah,staffnya pintu masuk ramahterutama yg jaga pintu masuk lumbasuper sabar bentak org sabar ramah,"['staffnya', 'pintu', 'masuk', 'ramahterutama', 'yg', 'jaga', 'pintu', 'masuk', 'lumbasuper', 'sabar', 'bentak', 'org', 'sabar', 'ramah']",staffnya pintu masuk ramahterutama yg jaga pintu masuk lumbasuper sabar bentak org sabar ramah
1,"Tiket masuk dewasa 70rb/orang, anak diatas 2th 50rb/anak. Dapat voucher 10rb/tiket.
Naik gajah 50rb/orang. Jadi kalau anak diatas 2th+pendamping harganya 100rb. ",tiket masuk dewasa 70rborang anak diatas 2th 50rbanak dapat voucher 10rbtiketnaik gajah 50rborang jadi kalau anak diatas 2thpendamping harganya 100rb ,tiket masuk dewasa 70rborang anak diatas 2th 50rbanak voucher 10rbtiketnaik gajah 50rborang anak diatas 2thpendamping harganya 100rb,"['tiket', 'masuk', 'dewasa', '70rborang', 'anak', 'diatas', '2th', '50rbanak', 'voucher', '10rbtiketnaik', 'gajah', '50rborang', 'anak', 'diatas', '2thpendamping', 'harganya', '100rb']",tiket masuk dewasa 70rborang anak atas 2th 50rbanak voucher 10rbtiketnaik gajah 50rborang anak atas 2thpendamping harga 100rb
3,"Untuk pelayanan di arena kebun binatang sangat ramah sekali,,tp saat penukaran voucher food kita udah muter semua habis..harusnya dilebihin dong apalagi pada hari libur..bikin kapok aja kesini..pengunjung muter kan pasti lama,,pokoknya arena food nya gak banget ???? ",untuk pelayanan di arena kebun binatang sangat ramah sekalitp saat penukaran voucher food kita udah muter semua habisharusnya dilebihin dong apalagi pada hari liburbikin kapok aja kesinipengunjung muter kan pasti lamapokoknya arena food nya gak banget  ,pelayanan arena kebun binatang ramah sekalitp penukaran voucher food udah muter habisharusnya dilebihin liburbikin kapok aja kesinipengunjung muter lamapokoknya arena food nya gak banget,"['pelayanan', 'arena', 'kebun', 'binatang', 'ramah', 'sekalitp', 'penukaran', 'voucher', 'food', 'udah', 'muter', 'habisharusnya', 'dilebihin', 'liburbikin', 'kapok', 'aja', 'kesinipengunjung', 'muter', 'lamapokoknya', 'arena', 'food', 'nya', 'gak', 'banget']",layan arena kebun binatang ramah sekalitp tukar voucher food udah muter habisharusnya dilebihin liburbikin kapok aja kesinipengunjung muter lamapokoknya arena food nya gak banget
1,"Tidak recomended sama sekali.. Tiket mahal, wahana sedikit, ga boleh bawa makanan dr luar, beli didalam mesti pakai Qris.. Antri",tidak recomended sama sekali tiket mahal wahana sedikit ga boleh bawa makanan dr luar beli didalam mesti pakai qris antri,recomended tiket mahal wahana ga bawa makanan dr beli didalam mesti pakai qris antri,"['recomended', 'tiket', 'mahal', 'wahana', 'ga', 'bawa', 'makanan', 'dr', 'beli', 'didalam', 'mesti', 'pakai', 'qris', 'antri']",recomended tiket mahal wahana ga bawa makan dr beli dalam mesti pakai qris antri
4,"Taman satwa di pantai,tiket masuk dws 80rb,anak 50rb.
Kl mau milih ke pantai aja jg bisa...
Sebelum masuk jg ada tiket masuk kawasan wisata 4rb per org. ",taman satwa di pantaitiket masuk dws 80rbanak 50rbkl mau milih ke pantai aja jg bisasebelum masuk jg ada tiket masuk kawasan wisata 4rb per org ,taman satwa pantaitiket masuk dws 80rbanak 50rbkl milih pantai aja jg bisasebelum masuk jg tiket masuk kawasan wisata 4rb org,"['taman', 'satwa', 'pantaitiket', 'masuk', 'dws', '80rbanak', '50rbkl', 'milih', 'pantai', 'aja', 'jg', 'bisasebelum', 'masuk', 'jg', 'tiket', 'masuk', 'kawasan', 'wisata', '4rb', 'org']",taman satwa pantaitiket masuk dws 80rbanak 50rbkl milih pantai aja jg bisasebelum masuk jg tiket masuk kawasan wisata 4rb org
5,Staff nya dari pintu masuk sampai didalam ramah banget suasana nyaman dan santai buat keluarga harga wajar dan enak enak..... Anak anak betah berlama lama dengan suasananya ... Tiap mudik sepertinya wajib mampir melepas lelah,staff nya dari pintu masuk sampai didalam ramah banget suasana nyaman dan santai buat keluarga harga wajar dan enak enak anak anak betah berlama lama dengan suasananya  tiap mudik sepertinya wajib mampir melepas lelah,staff nya pintu masuk didalam ramah banget suasana nyaman santai keluarga harga wajar enak enak anak anak betah berlama suasananya mudik wajib mampir melepas lelah,"['staff', 'nya', 'pintu', 'masuk', 'didalam', 'ramah', 'banget', 'suasana', 'nyaman', 'santai', 'keluarga', 'harga', 'wajar', 'enak', 'enak', 'anak', 'anak', 'betah', 'berlama', 'suasananya', 'mudik', 'wajib', 'mampir', 'melepas', 'lelah']",staff nya pintu masuk dalam ramah banget suasana nyaman santai keluarga harga wajar enak enak anak anak betah lama suasana mudik wajib mampir lepas lelah
5,so comfy. enak banget untuk berlama-lama disini. family friendly banget. easy access kalau pakai kursi roda untuk makan di blu seafood-nya. pertunjukan lumba-lumbanya juga sangat menarik dan pertunjukan malamnya juga sangat keren. would like to comeback here to spend more time here ????. ,so comfy enak banget untuk berlamalama disini family friendly banget easy access kalau pakai kursi roda untuk makan di blu seafoodnya pertunjukan lumbalumbanya juga sangat menarik dan pertunjukan malamnya juga sangat keren would like to comeback here to spend more time here  ,so comfy enak banget berlamalama family friendly banget easy access pakai kursi roda makan blu seafoodnya pertunjukan lumbalumbanya menarik pertunjukan malamnya keren would like to comeback here to spend more time here,"['so', 'comfy', 'enak', 'banget', 'berlamalama', 'family', 'friendly', 'banget', 'easy', 'access', 'pakai', 'kursi', 'roda', 'makan', 'blu', 'seafoodnya', 'pertunjukan', 'lumbalumbanya', 'menarik', 'pertunjukan', 'malamnya', 'keren', 'would', 'like', 'to', 'comeback', 'here', 'to', 'spend', 'more', 'time', 'here']",so comfy enak banget berlamalama family friendly banget easy access pakai kursi roda makan blu seafoodnya tunjuk lumbalumbanya tarik tunjuk malam keren would like to comeback here to spend more time here
5,Malam tahun baru di Beach Safari Batang bersama keluarga sungguh disajikan suasana yg seru dan mengesankan. Keramahan semua team mulai dari area parkir sampai didalam area sangat tulus dan sangat mengesankan. Kopinya enak dan makanannya ,malam tahun baru di beach safari batang bersama keluarga sungguh disajikan suasana yg seru dan mengesankan keramahan semua team mulai dari area parkir sampai didalam area sangat tulus dan sangat mengesankan kopinya enak dan makanannya ,malam beach safari batang keluarga sungguh disajikan suasana yg seru mengesankan keramahan team area parkir didalam area tulus mengesankan kopinya enak makanannya,"['malam', 'beach', 'safari', 'batang', 'keluarga', 'sungguh', 'disajikan', 'suasana', 'yg', 'seru', 'mengesankan', 'keramahan', 'team', 'area', 'parkir', 'didalam', 'area', 'tulus', 'mengesankan', 'kopinya', 'enak', 'makanannya']",malam beach safari batang keluarga sungguh saji suasana yg seru kesan ramah team area parkir dalam area tulus kesan kopi enak makan
4,"yah lumayanlah, stroller aja sampai susah buat jalan karna jalannya masih berbatuan",yah lumayanlah stroller aja sampai susah buat jalan karna jalannya masih berbatuan,yah lumayanlah stroller aja susah jalan karna jalannya berbatuan,"['yah', 'lumayanlah', 'stroller', 'aja', 'susah', 'jalan', 'karna', 'jalannya', 'berbatuan']",yah lumayan stroller aja susah jalan karna jalan batu
3,"Tiket mahal wahana masih banyak dalam proses pembuatan
Tempat juga masih becek",tiket mahal wahana masih banyak dalam proses pembuatantempat juga masih becek,tiket mahal wahana proses pembuatantempat becek,"['tiket', 'mahal', 'wahana', 'proses', 'pembuatantempat', 'becek']",tiket mahal wahana proses pembuatantempat becek
5,Datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumba-lumba ,datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumbalumba ,renovasi area puas atraksi hewan lumbalumba,"['renovasi', 'area', 'puas', 'atraksi', 'hewan', 'lumbalumba']",renovasi area puas atraksi hewan lumbalumba
4,Safari Jateng di Batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara Jawa Tengah. Tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai. ,safari jateng di batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara jawa tengah tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai ,safari jateng batang salah destinasi wisata keluarga terletak kawasan pesisir pantai utara jawa menawarkan pengalaman wisata terjangkau menyenangkan suasana alami khas pantai,"['safari', 'jateng', 'batang', 'salah', 'destinasi', 'wisata', 'keluarga', 'terletak', 'kawasan', 'pesisir', 'pantai', 'utara', 'jawa', 'menawarkan', 'pengalaman', 'wisata', 'terjangkau', 'menyenangkan', 'suasana', 'alami', 'khas', 'pantai']",safari jateng batang salah destinasi wisata keluarga letak kawasan pesisir pantai utara jawa tawar alam wisata jangkau senang suasana alami khas pantai
1,"GBLK MAKANAN NITIP DI PENITIPAN ILANG SEMUA PAS MAU BALIK,YANG LAIN BAWA MASUK BOLEH MIKIR BLOK",gblk makanan nitip di penitipan ilang semua pas mau balikyang lain bawa masuk boleh mikir blok,gblk makanan nitip penitipan ilang pas balikyang bawa masuk mikir blok,"['gblk', 'makanan', 'nitip', 'penitipan', 'ilang', 'pas', 'balikyang', 'bawa', 'masuk', 'mikir', 'blok']",gblk makan nitip titip ilang pas balikyang bawa masuk mikir blok
4,"Tiket masuk 70rb dewasa 50rb anak 2-6 tahun.
Free akses untuk akses pantai, animal show.
Untuk naik kuda nambah 25k, naik gajah 50k, naik unta 50k, masuk bird apa si itu ",tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses untuk akses pantai animal showuntuk naik kuda nambah 25k naik gajah 50k naik unta 50k masuk bird apa si itu ,tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses akses pantai animal showuntuk kuda nambah 25k gajah 50k unta 50k masuk bird si,"['tiket', 'masuk', '70rb', 'dewasa', '50rb', 'anak', '26', 'tahunfree', 'akses', 'akses', 'pantai', 'animal', 'showuntuk', 'kuda', 'nambah', '25k', 'gajah', '50k', 'unta', '50k', 'masuk', 'bird', 'si']",tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses akses pantai animal showuntuk kuda nambah 25k gajah 50k unta 50k masuk bird si
4,"Kedua kalinya kesini, ternyata tempatnya masih saja ada pembangunan. Menurut saya ini cukup mengganggu sih, karena pengunjung harus jalan memutar, dan jalannya becek karena hujan. Kalau kesini jgn lupa pakai sepatu. Sebenarnya taman safari ",kedua kalinya kesini ternyata tempatnya masih saja ada pembangunan menurut saya ini cukup mengganggu sih karena pengunjung harus jalan memutar dan jalannya becek karena hujan kalau kesini jgn lupa pakai sepatu sebenarnya taman safari ,kalinya kesini tempatnya pembangunan mengganggu sih pengunjung jalan memutar jalannya becek hujan kesini jgn lupa pakai sepatu taman safari,"['kalinya', 'kesini', 'tempatnya', 'pembangunan', 'mengganggu', 'sih', 'pengunjung', 'jalan', 'memutar', 'jalannya', 'becek', 'hujan', 'kesini', 'jgn', 'lupa', 'pakai', 'sepatu', 'taman', 'safari']",kali kesini tempat bangun ganggu sih unjung jalan putar jalan becek hujan kesini jgn lupa pakai sepatu taman safari
2,"1. nggak all in.
di depann bgt ada tarikan uang 5k/org buat masuk ke pantai (gatau itu resmi atau nggak). ",1 nggak all indi depann bgt ada tarikan uang 5korg buat masuk ke pantai gatau itu resmi atau nggak ,1 nggak all indi depann bgt tarikan uang 5korg masuk pantai gatau resmi nggak,"['1', 'nggak', 'all', 'indi', 'depann', 'bgt', 'tarikan', 'uang', '5korg', 'masuk', 'pantai', 'gatau', 'resmi', 'nggak']",1 nggak all indi depann bgt tari uang 5korg masuk pantai gatau resmi nggak
1,"Di paksa pakai gelang kertas tanda masuk di depan anak & istri serta keluarga besar sy, dari kecil sy gak suka pakai cincin atau gelang. Dan sy lihat ada beberapa pengunjung lain yg tidak pakai dan tdk di paksa pakai...",di paksa pakai gelang kertas tanda masuk di depan anak  istri serta keluarga besar sy dari kecil sy gak suka pakai cincin atau gelang dan sy lihat ada beberapa pengunjung lain yg tidak pakai dan tdk di paksa pakai,paksa pakai gelang kertas tanda masuk anak istri keluarga sy sy gak suka pakai cincin gelang sy lihat pengunjung yg pakai tdk paksa pakai,"['paksa', 'pakai', 'gelang', 'kertas', 'tanda', 'masuk', 'anak', 'istri', 'keluarga', 'sy', 'sy', 'gak', 'suka', 'pakai', 'cincin', 'gelang', 'sy', 'lihat', 'pengunjung', 'yg', 'pakai', 'tdk', 'paksa', 'pakai']",paksa pakai gelang kertas tanda masuk anak istri keluarga sy sy gak suka pakai cincin gelang sy lihat unjung yg pakai tdk paksa pakai
4,Tempat rekreasi pantai yg oke dan edukasi bermacam² binatang,tempat rekreasi pantai yg oke dan edukasi bermacam binatang,rekreasi pantai yg oke edukasi binatang,"['rekreasi', 'pantai', 'yg', 'oke', 'edukasi', 'binatang']",rekreasi pantai yg oke edukasi binatang
5,"Pantainya bersih, tarip wajar tetapi sayang ada pos retribusi masyarakat sebelum masuk lokasi.",pantainya bersih tarip wajar tetapi sayang ada pos retribusi masyarakat sebelum masuk lokasi,pantainya bersih tarip wajar sayang pos retribusi masyarakat masuk lokasi,"['pantainya', 'bersih', 'tarip', 'wajar', 'sayang', 'pos', 'retribusi', 'masyarakat', 'masuk', 'lokasi']",pantai bersih tarip wajar sayang pos retribusi masyarakat masuk lokasi
3,"Wisata Kebun Binatang dan Pantai di Batang.
Ada pertunjukan lumba-lumba, wisata kebun binatang, pantai yg bersih, stand ",wisata kebun binatang dan pantai di batangada pertunjukan lumbalumba wisata kebun binatang pantai yg bersih stand ,wisata kebun binatang pantai batangada pertunjukan lumbalumba wisata kebun binatang pantai yg bersih stand,"['wisata', 'kebun', 'binatang', 'pantai', 'batangada', 'pertunjukan', 'lumbalumba', 'wisata', 'kebun', 'binatang', 'pantai', 'yg', 'bersih', 'stand']",wisata kebun binatang pantai batangada tunjuk lumbalumba wisata kebun binatang pantai yg bersih stand
3,"Dari salatiga-batang full tol jalanan aman sampe depan safarinya jalan masih bagus. Pas masuk terkejut wkwkwk udah becek ada renov banyak
Gw bw stroller jdd tanah semua tu stroller?? ",dari salatigabatang full tol jalanan aman sampe depan safarinya jalan masih bagus pas masuk terkejut wkwkwk udah becek ada renov banyakgw bw stroller jdd tanah semua tu stroller ,salatigabatang full tol jalanan aman sampe safarinya jalan bagus pas masuk terkejut wkwkwk udah becek renov banyakgw bw stroller jdd tanah tu stroller,"['salatigabatang', 'full', 'tol', 'jalanan', 'aman', 'sampe', 'safarinya', 'jalan', 'bagus', 'pas', 'masuk', 'terkejut', 'wkwkwk', 'udah', 'becek', 'renov', 'banyakgw', 'bw', 'stroller', 'jdd', 'tanah', 'tu', 'stroller']",salatigabatang full tol jalan aman sampe safari jalan bagus pas masuk kejut wkwkwk udah becek renov banyakgw bw stroller jdd tanah tu stroller
5,Ganti nama.??,ganti nama,ganti nama,"['ganti', 'nama']",ganti nama
5,Kerenn,kerenn,kerenn,['kerenn'],kerenn
3,"Harga tiket sangat mahal tidak sesuai dengan fasilitas dan sarana yg ada
Keragaman satwa juga minim.
Banyak satwa yang tidak terawat dengan baik. Sarana dan prasarana masih kurang.",harga tiket sangat mahal tidak sesuai dengan fasilitas dan sarana yg adakeragaman satwa juga minimbanyak satwa yang tidak terawat dengan baik sarana dan prasarana masih kurang,harga tiket mahal sesuai fasilitas sarana yg adakeragaman satwa minimbanyak satwa terawat sarana prasarana,"['harga', 'tiket', 'mahal', 'sesuai', 'fasilitas', 'sarana', 'yg', 'adakeragaman', 'satwa', 'minimbanyak', 'satwa', 'terawat', 'sarana', 'prasarana']",harga tiket mahal sesuai fasilitas sarana yg adakeragaman satwa minimbanyak satwa awat sarana prasarana
4,Terlalu mahal tiketnya sedangkan fasilitas belum selesai dikerjakan.,terlalu mahal tiketnya sedangkan fasilitas belum selesai dikerjakan,mahal tiketnya fasilitas selesai,"['mahal', 'tiketnya', 'fasilitas', 'selesai']",mahal tiket fasilitas selesai
1,Tempat belum siap. Saat kami kunjungi. Nyamuk banyak sekali. Lumpur dan mbletok dimana mana.. akses manusia seperti off road.. ,tempat belum siap saat kami kunjungi nyamuk banyak sekali lumpur dan mbletok dimana mana akses manusia seperti off road ,kunjungi nyamuk lumpur mbletok dimana akses manusia off road,"['kunjungi', 'nyamuk', 'lumpur', 'mbletok', 'dimana', 'akses', 'manusia', 'off', 'road']",kunjung nyamuk lumpur mbletok mana akses manusia off road
5,"Di rekomendasikan buat yg sayang dgn kluarga, ank2 dan org tersayang, untuk sgala kalangan,. Sahabat, rekan kntor ,.. , kalo ingin melihat pertunjukan lumba lumba di anjurkan datng jgn lwat dari jam 15:00pm(sore) krna show lumba2 tutup jam ",di rekomendasikan buat yg sayang dgn kluarga ank2 dan org tersayang untuk sgala kalangan sahabat rekan kntor   kalo ingin melihat pertunjukan lumba lumba di anjurkan datng jgn lwat dari jam 1500pmsore krna show lumba2 tutup jam ,rekomendasikan yg sayang dgn kluarga ank2 org tersayang sgala kalangan sahabat rekan kntor kalo pertunjukan lumba lumba anjurkan datng jgn lwat jam 1500pmsore krna show lumba2 tutup jam,"['rekomendasikan', 'yg', 'sayang', 'dgn', 'kluarga', 'ank2', 'org', 'tersayang', 'sgala', 'kalangan', 'sahabat', 'rekan', 'kntor', 'kalo', 'pertunjukan', 'lumba', 'lumba', 'anjurkan', 'datng', 'jgn', 'lwat', 'jam', '1500pmsore', 'krna', 'show', 'lumba2', 'tutup', 'jam']",rekomendasi yg sayang dgn kluarga ank2 org sayang sgala kalang sahabat rekan kntor kalo tunjuk lumba lumba anjur datng jgn lwat jam 1500pmsore krna show lumba2 tutup jam
4,Merupakan pengalaman yang baik untuk perjalanan sehari. Bersenang-senang dengan banyak kegiatan meskipun banyak kegiatan yang tutup.,merupakan pengalaman yang baik untuk perjalanan sehari bersenangsenang dengan banyak kegiatan meskipun banyak kegiatan yang tutup,pengalaman perjalanan sehari bersenangsenang kegiatan kegiatan tutup,"['pengalaman', 'perjalanan', 'sehari', 'bersenangsenang', 'kegiatan', 'kegiatan', 'tutup']",alam jalan hari bersenangsenang giat giat tutup
5,Enak bersih parkir luas..fasilitas musola kamar mandi bersih,enak bersih parkir luasfasilitas musola kamar mandi bersih,enak bersih parkir luasfasilitas musola kamar mandi bersih,"['enak', 'bersih', 'parkir', 'luasfasilitas', 'musola', 'kamar', 'mandi', 'bersih']",enak bersih parkir luasfasilitas musola kamar mandi bersih
3,B aja,b aja,b aja,"['b', 'aja']",b aja
5,"Secara keseluruhan solid, meski masih dalam tahap pengembangan.",secara keseluruhan solid meski masih dalam tahap pengembangan,solid tahap pengembangan,"['solid', 'tahap', 'pengembangan']",solid tahap kembang
2,"2 ajalah bintangnya. karena yg menarik di lumba²nya aja. daaaannn percuma kasih voucher sih menurutku, karena banyak syarat buat tukerinnya, harus yg ini itu, ngga boleh ini itu, berakhir ngga jd dipake vouchernya, mending ngga usah dikasih sekalian sih. padahal dulu gampang banget tuker voucher didalem, makanan minuman apapun.",2 ajalah bintangnya karena yg menarik di lumbanya aja daaaannn percuma kasih voucher sih menurutku karena banyak syarat buat tukerinnya harus yg ini itu ngga boleh ini itu berakhir ngga jd dipake vouchernya mending ngga usah dikasih sekalian sih padahal dulu gampang banget tuker voucher didalem makanan minuman apapun,2 ajalah bintangnya yg menarik lumbanya aja daaaannn kasih voucher sih menurutku syarat tukerinnya yg ngga ngga jd dipake vouchernya mending ngga dikasih sih gampang banget tuker voucher didalem makanan minuman apapun,"['2', 'ajalah', 'bintangnya', 'yg', 'menarik', 'lumbanya', 'aja', 'daaaannn', 'kasih', 'voucher', 'sih', 'menurutku', 'syarat', 'tukerinnya', 'yg', 'ngga', 'ngga', 'jd', 'dipake', 'vouchernya', 'mending', 'ngga', 'dikasih', 'sih', 'gampang', 'banget', 'tuker', 'voucher', 'didalem', 'makanan', 'minuman', 'apapun']",2 aja bintang yg tarik lumbanya aja daaaannn kasih voucher sih turut syarat tukerinnya yg ngga ngga jd dipake vouchernya mending ngga kasih sih gampang banget tuker voucher dalem makan minum apa
5,"Bagus masih dalam proses pembangungan, hewan lumayan lah untuk makanan dan minuman sedikit pricey yaa",bagus masih dalam proses pembangungan hewan lumayan lah untuk makanan dan minuman sedikit pricey yaa,bagus proses pembangungan hewan lumayan makanan minuman pricey yaa,"['bagus', 'proses', 'pembangungan', 'hewan', 'lumayan', 'makanan', 'minuman', 'pricey', 'yaa']",bagus proses pembangungan hewan lumayan makan minum pricey yaa
4,"Safari Beach Jateng
Merupakan tempat wisata berupa pantai yang berada di Batang sekaligus sebagai ",safari beach jatengmerupakan tempat wisata berupa pantai yang berada di batang sekaligus sebagai ,safari beach jatengmerupakan wisata pantai batang,"['safari', 'beach', 'jatengmerupakan', 'wisata', 'pantai', 'batang']",safari beach jatengmerupakan wisata pantai batang
4,"Lumayan jauh ya dari semarang kota, kesana pas direnovasi jadi kurang puas hehe.. tempat bagus nyaman banyak binatang di mini zoo nya.. kesana pas minggu tp kok sepi apa karna udh jam 4 sore ya jd sudah pada pulang.. toilet bersih, lumba2 ",lumayan jauh ya dari semarang kota kesana pas direnovasi jadi kurang puas hehe tempat bagus nyaman banyak binatang di mini zoo nya kesana pas minggu tp kok sepi apa karna udh jam 4 sore ya jd sudah pada pulang toilet bersih lumba2 ,lumayan ya semarang kota kesana pas direnovasi puas hehe bagus nyaman binatang mini zoo nya kesana pas minggu tp sepi karna udh jam 4 sore ya jd pulang toilet bersih lumba2,"['lumayan', 'ya', 'semarang', 'kota', 'kesana', 'pas', 'direnovasi', 'puas', 'hehe', 'bagus', 'nyaman', 'binatang', 'mini', 'zoo', 'nya', 'kesana', 'pas', 'minggu', 'tp', 'sepi', 'karna', 'udh', 'jam', '4', 'sore', 'ya', 'jd', 'pulang', 'toilet', 'bersih', 'lumba2']",lumayan ya semarang kota kesana pas renovasi puas hehe bagus nyaman binatang mini zoo nya kesana pas minggu tp sepi karna udh jam 4 sore ya jd pulang toilet bersih lumba2
5,"Pas disana rasanya nggak pengin pulaaang....ramah semua, puas banget lihat atraksi lumba-lumbanya, pantainya sangat menyenangkan....terima kasih Beach Safari Batang....kapan kapan mau kesini lagiiii...?????",pas disana rasanya nggak pengin pulaaangramah semua puas banget lihat atraksi lumbalumbanya pantainya sangat menyenangkanterima kasih beach safari batangkapan kapan mau kesini lagiiii,pas disana nggak pengin pulaaangramah puas banget lihat atraksi lumbalumbanya pantainya menyenangkanterima kasih beach safari batangkapan kesini lagiiii,"['pas', 'disana', 'nggak', 'pengin', 'pulaaangramah', 'puas', 'banget', 'lihat', 'atraksi', 'lumbalumbanya', 'pantainya', 'menyenangkanterima', 'kasih', 'beach', 'safari', 'batangkapan', 'kesini', 'lagiiii']",pas sana nggak pengin pulaaangramah puas banget lihat atraksi lumbalumbanya pantai menyenangkanterima kasih beach safari batangkapan kesini lagiiii
